,GYN,Adeno lung,Intra cholangio,CNS,Mixed neuroendocrine ca,Adeno anus,Adeno pancreas,Ameloblastoma of mandible,Neuroendocrine colon ca
0,-32.9511724756905,-43.85126708673575,-22.939452163345745,-18.633970084987666,,,,,
1,-28.136994740815,-41.263554399227495,-39.339357785443255,-34.02754119537666,,,,,
2,-47.290492068845,-44.404197148165,-48.9824580568275,-51.057788887406666,,,,,
3,-32.93642677409999,-42.225652706119995,-35.203440925923246,-33.12811009534667,,,,,
4,-32.368752810981,-6.583778246309251,-47.19096465778925,-1.3678055667443338,,,,,
5,-39.984442857114495,-35.5794333677015,-39.085009957183246,-25.180662012352332,,,,,
6,-37.06497213274783,-26.90949000443325,-30.23812762433325,-45.779149900930996,,,,,
7,-40.89861965873333,-45.24465084154825,-14.933024873799999,-36.87328971144999,,,,,
8,-42.98500999048999,-42.059773687691745,-30.51459265504925,-44.997675414103334,,,,,
9,-33.20920560440717,-48.1088285597675,-44.64748637519825,-51.75079456440333,,,,,
10,-32.479337923315,-46.36156956564175,-52.73132387334499,-42.81544477164999,,,,,
11,-45.543233074718835,-14.02621822312325,-25.16223101030425,-30.503535403747662,,,,,
12,-40.810150848901664,-34.17499101165925,-27.59512328061075,-31.992760369205666,,,,,
13,-28.159111043320497,-51.4817019345075,-61.9984317029575,-42.12243909465333,,,,,
14,-30.533025007022164,-36.508355870909995,-26.135386568499996,-42.594272747078996,,,,,
15,-23.794650658360997,-29.77366637273,-19.31222961042075,-49.937183962906666,,,,,
16,-31.67574533408333,-41.58425383486325,-43.57480070609,-23.735671451810003,,,,,
17,-28.771019411355,-52.001456192255,-12.356369437596749,5.341079178638,,,,,
18,-41.495785025031665,-16.901454542572502,-53.89247700235249,-33.481985334663335,,,,,
19,-47.710718915533334,-41.816483110735,-43.995028902705,-47.87291173355666,,,,,
20,-28.741531607979994,-32.9032505204375,-43.663270865847494,-37.920168827863336,,,,,
21,-22.224328383941,-21.800414886865,-22.88415915720325,-21.273287778326665,,,,,
